Country,Restaurant Name,Sentiment,Review Title,Review Date,Review,Text,Sentiment_Label,Clean_Text
France,The Frog at Bercy Village,Negative,Rude manager,May 2024 •,The manager became agressive when I said the carbonara was not good. She was rude. It was  a very bad experience. The worst in Rome in many years.,Rude manager The manager became agressive when I said the carbonara was not good. She was rude. It was  a very bad experience. The worst in Rome in many years.,0,rude manager manager became agressive when i said carbonara not good she rude very bad experience worst rome many years
France,The Frog at Bercy Village,Negative,A big disappointment,Feb 2024 •,"I ordered a beef fillet ask to be done medium, I got it well done cooked and very dry, when I told them they took the steak and after 20 minutes they brought me another steak that was completely rare, I left all the steak , and they asked me about it but charged me the fool price.","A big disappointment I ordered a beef fillet ask to be done medium, I got it well done cooked and very dry, when I told them they took the steak and after 20 minutes they brought me another steak that was completely rare, I left all the steak , and they asked me about it but charged me the fool price.",0,big disappointment i ordered beef fillet ask be done medium i got well done cooked very dry when i told them they took steak after minutes they brought me another steak that completely rare i left all steak they asked me about but charged me fool price
France,The Frog at Bercy Village,Negative,Pretty Place with Bland Food,Nov 2023 •,"This is an attractive venue with welcoming, albeit but somewhat slow service. The offerings are pleasingly presented but most everything has no taste. It was as though ingredients were just assembled without seasoning: a lovely restaurant, except for the food.","Pretty Place with Bland Food This is an attractive venue with welcoming, albeit but somewhat slow service. The offerings are pleasingly presented but most everything has no taste. It was as though ingredients were just assembled without seasoning: a lovely restaurant, except for the food.",0,pretty place bland food attractive venue welcoming albeit but somewhat slow service offerings are pleasingly presented but most everything has no taste as though ingredients were just assembled without seasoning lovely restaurant except food
France,The Frog at Bercy Village,Negative,Great service and wine but inedible food,Mar 2023 •,"Sadly I  used the high TripAdvisor rating too literally. We have been fortunate to eat at a number of fine restaurants so  know that amazing buzz from  a mouthful of fine freshly cooked food from a great chef.
Never before have we eaten a tasting menu and never will we again.
Ad Hoc has a great ambience with attentive friendly service and all the paired wines were exceptional.
Maybe we hit a night when the chef was off but every single course of food was certainly not freshly cooked and , as we passed the kitchen on the way to the bathroom, noticed plates of  precooked food ready to go on the tasting menu plates. If it had been the odd dish that disappointed, we would have accepted that it might have just been our palates not liking it. As it was every plate of food was not hot, bland, lacking any spark and had probably been sitting around for a while.l
All the serving staff were great as was the wine but I failed to finish any plate offered. 
The tasting menu looked good value but a simple bowl of hot freshly cooked pasta would have done better justice to the wine.
When asked ,I admitted , with that great English understatement, that I had been disappointed. I found 17 euros had been deducted from the 190 euro bill so it was nice that they noticed.
Probably best to avoid the tasting menus and enjoy their great wine selection with some pasta and maybe cheese course.

I feel responsible that I made a poor choice not realizing that this is a place geared for tourists. 
An expensive mistake.","Great service and wine but inedible food Sadly I  used the high TripAdvisor rating too literally. We have been fortunate to eat at a number of fine restaurants so  know that amazing buzz from  a mouthful of fine freshly cooked food from a great chef.
Never before have we eaten a tasting menu and never will we again.
Ad Hoc has a great ambience with attentive friendly service and all the paired wines were exceptional.
Maybe we hit a night when the chef was off but every single course of food was certainly not freshly cooked and , as we passed the kitchen on the way to the bathroom, noticed plates of  precooked food ready to go on the tasting menu plates. If it had been the odd dish that disappointed, we would have accepted that it might have just been our palates not liking it. As it was every plate of food was not hot, bland, lacking any spark and had probably been sitting around for a while.l
All the serving staff were great as was the wine but I failed to finish any plate offered. 
The tasting menu looked good value but a simple bowl of hot freshly cooked pasta would have done better justice to the wine.
When asked ,I admitted , with that great English understatement, that I had been disappointed. I found 17 euros had been deducted from the 190 euro bill so it was nice that they noticed.
Probably best to avoid the tasting menus and enjoy their great wine selection with some pasta and maybe cheese course.

I feel responsible that I made a poor choice not realizing that this is a place geared for tourists. 
An expensive mistake.",0,great service wine but inedible food sadly i used high tripadvisor rating too literally have been fortunate eat number fine restaurants so know that amazing buzz from mouthful fine freshly cooked food from great chef never before have eaten tasting menu never will again ad hoc has great ambience attentive friendly service all paired wines were exceptional maybe hit night when chef off but every single course food certainly not freshly cooked as passed kitchen way bathroom noticed plates precooked food ready go tasting menu plates if been odd dish that disappointed would have accepted that might have just been our palates not liking as every plate food not hot bland lacking any spark probably been sitting around whilel all serving staff were great as wine but i failed finish any plate offered tasting menu looked good value but simple bowl hot freshly cooked pasta would have done better justice wine when asked i admitted that great english understatement that i been disappointed i found euros been deducted from euro bill so nice that they noticed probably best avoid tasting menus enjoy their great wine selection some pasta maybe cheese course i feel responsible that i made poor choice not realizing that place geared tourists expensive mistake
France,The Frog at Bercy Village,Negative,Avoid- Worst meal in Rome - possibly ever,Nov 2022 •,"From the start this meal was bad- especially given the price. We visited for my husbands birthday after being recommended by our local hotel. The lady in charge appeared at our table as we arrived to basically up-sell the truffle menu. Plonked some truffles on the table and then with no explanation of how they would enhance the dishes gave us a rehearsed speech which she proceeded to repeat word for word at every single table. If the food had been good we could have forgiven this but it wasn’t. The best parts were the bland bits as at least they were inoffensive - nothing was seasoned and sauces were completely tasteless with strange and weird combinations. But the worst part of the meal was my husbands inedible medallions of ‘lamb’ dish. This was made up of a tiny amount of lamb gristle and fat wrapped around some mushy stuff we couldn’t identify. Fillet of beef was sort of well cooked (frankly hard to get wrong) but served with exactly the same sauce as the lamb, some reconstituted mash in strange tube shapes and tasteless, watery spinach. We asked for wine recommendations. The wines were ok but we weren’t told what they were, they weren’t explained to us (I had to ask what mine was and was told it was ‘local’) and we weren’t offered any to try. With so much choice nearby and so many better (and much cheaper options) I’d avoid.","Avoid- Worst meal in Rome - possibly ever From the start this meal was bad- especially given the price. We visited for my husbands birthday after being recommended by our local hotel. The lady in charge appeared at our table as we arrived to basically up-sell the truffle menu. Plonked some truffles on the table and then with no explanation of how they would enhance the dishes gave us a rehearsed speech which she proceeded to repeat word for word at every single table. If the food had been good we could have forgiven this but it wasn’t. The best parts were the bland bits as at least they were inoffensive - nothing was seasoned and sauces were completely tasteless with strange and weird combinations. But the worst part of the meal was my husbands inedible medallions of ‘lamb’ dish. This was made up of a tiny amount of lamb gristle and fat wrapped around some mushy stuff we couldn’t identify. Fillet of beef was sort of well cooked (frankly hard to get wrong) but served with exactly the same sauce as the lamb, some reconstituted mash in strange tube shapes and tasteless, watery spinach. We asked for wine recommendations. The wines were ok but we weren’t told what they were, they weren’t explained to us (I had to ask what mine was and was told it was ‘local’) and we weren’t offered any to try. With so much choice nearby and so many better (and much cheaper options) I’d avoid.",0,avoid worst meal rome possibly ever from start meal bad especially given price visited my husbands birthday after being recommended by our local hotel lady charge appeared our table as arrived basically upsell truffle menu plonked some truffles table then no explanation how they would enhance dishes gave us rehearsed speech which she proceeded repeat word word every single table if food been good could have forgiven but wasnt best parts were bland bits as least they were inoffensive nothing seasoned sauces were completely tasteless strange weird combinations but worst part meal my husbands inedible medallions lamb dish made up tiny amount lamb gristle fat wrapped around some mushy stuff couldnt identify fillet beef sort well cooked frankly hard get wrong but served exactly same sauce as lamb some reconstituted mash strange tube shapes tasteless watery spinach asked wine recommendations wines were ok but werent told what they were they werent explained us i ask what mine told local werent offered any try so much choice nearby so many better much cheaper options id avoid
France,The Frog at Bercy Village,Negative,"Shocking management, TERRIBLE service by mum and daughter!! FOR Tourist ONLY!!",Jul 2021 •,"We visited this restaurant on Saturday night and we had the most disappointing service and food experience ever. It was my partner's bday celebration weekend. 

The restaurant is run by a blonde Manager and her daughter wich had the most terrible attitude, they both made sure we will never be back there.
We were sitting at the table near the window but the ac was off and outside about 35 degrees. Halfway through our meal (truffle tasting menu with wine pairing), we asked to move anywhere else because it was too warm there.
The young waitress (the daughter) asked the manager (her mum) to move us, but she replies a very sharp NO!!!!! Also, a dog pooped just in front of us, on the pedestrian side, but apparently, according to the same waitress, that was nothing that concerned the restaurant. Anyhow now not only was it crazy hot but with a nice poo view too.
So we could not move anywhere even though the restaurant was empty, for no reason. Asked to talk to her mum (The Manager) she never touches the table or acknowledges us. How can you deny to a couple with 230 euro bills to move to another table when your restaurant is empty? 
Finally, a gem of a waitress with curly hair approached the table and moved us to another spot, where we spent the rest of the evening in confinement because as I said one side of the restaurant was empty for the whole night.
I have been managing restaurants for my whole life, and I never gave such an awful service and attitude to my guests.

The tempo of service completely wrong, food was getting to our table way earlier than wine.
The wine was poured into the glasses and set in the station for about 20 minutes before being served, subjected to the bacterias and dust since everyone was passing by.

Food was good but if you are used to first-class and fine dining service keep out from this place!","Shocking management, TERRIBLE service by mum and daughter!! FOR Tourist ONLY!! We visited this restaurant on Saturday night and we had the most disappointing service and food experience ever. It was my partner's bday celebration weekend. 

The restaurant is run by a blonde Manager and her daughter wich had the most terrible attitude, they both made sure we will never be back there.
We were sitting at the table near the window but the ac was off and outside about 35 degrees. Halfway through our meal (truffle tasting menu with wine pairing), we asked to move anywhere else because it was too warm there.
The young waitress (the daughter) asked the manager (her mum) to move us, but she replies a very sharp NO!!!!! Also, a dog pooped just in front of us, on the pedestrian side, but apparently, according to the same waitress, that was nothing that concerned the restaurant. Anyhow now not only was it crazy hot but with a nice poo view too.
So we could not move anywhere even though the restaurant was empty, for no reason. Asked to talk to her mum (The Manager) she never touches the table or acknowledges us. How can you deny to a couple with 230 euro bills to move to another table when your restaurant is empty? 
Finally, a gem of a waitress with curly hair approached the table and moved us to another spot, where we spent the rest of the evening in confinement because as I said one side of the restaurant was empty for the whole night.
I have been managing restaurants for my whole life, and I never gave such an awful service and attitude to my guests.

The tempo of service completely wrong, food was getting to our table way earlier than wine.
The wine was poured into the glasses and set in the station for about 20 minutes before being served, subjected to the bacterias and dust since everyone was passing by.

Food was good but if you are used to first-class and fine dining service keep out from this place!",0,shocking management terrible service by mum daughter tourist only visited restaurant saturday night most disappointing service food experience ever my partners bday celebration weekend restaurant run by blonde manager her daughter wich most terrible attitude they both made sure will never be back there were sitting table near window but ac off outside about degrees halfway through our meal truffle tasting menu wine pairing asked move anywhere else because too warm there young waitress daughter asked manager her mum move us but she replies very sharp no also dog pooped just front us pedestrian side but apparently according same waitress that nothing that concerned restaurant anyhow now not only crazy hot but nice poo view too so could not move anywhere even though restaurant empty no reason asked talk her mum manager she never touches table acknowledges us how can you deny couple euro bills move another table when your restaurant empty finally gem waitress curly hair approached table moved us another spot where spent rest evening confinement because as i said one side restaurant empty whole night i have been managing restaurants my whole life i never gave such awful service attitude my guests tempo service completely wrong food getting our table way earlier than wine wine poured into glasses set station about minutes before being served subjected bacterias dust since everyone passing by food good but if you are used firstclass fine dining service keep out from place
France,The Frog at Bercy Village,Negative,We tired the tasting menu - avoid,Jan 2020 •,"We tired the tasting menu with wine pairing. The food was not interesting, not very tasty and overall wasted time and money. I would not come back and I would not recommend it","We tired the tasting menu - avoid We tired the tasting menu with wine pairing. The food was not interesting, not very tasty and overall wasted time and money. I would not come back and I would not recommend it",0,tired tasting menu avoid tired tasting menu wine pairing food not interesting not very tasty overall wasted time money i would not come back i would not recommend
France,The Frog at Bercy Village,Negative,Huge Disappointment,Oct 2019 •,"This restaurant’s high rating is wholly unwarranted.  We were looking forward to Ad Hoc’s truffle menu this week with white truffles in season and left sorely disappointed.  The food was flavorless, served cold, and overpriced to boot.  It seemed as if the dishes had been made in advance and reheated.  The truffles inferior in quality and taste.  We dined at other restaurants in Rome the same week that served far more flavorful truffles at a much lower price, so recognize the difference!  The service was slow and disjointed.  The only thing that checked out were the wine pairings, which were fine.  Do yourself a favor and look elsewhere.","Huge Disappointment This restaurant’s high rating is wholly unwarranted.  We were looking forward to Ad Hoc’s truffle menu this week with white truffles in season and left sorely disappointed.  The food was flavorless, served cold, and overpriced to boot.  It seemed as if the dishes had been made in advance and reheated.  The truffles inferior in quality and taste.  We dined at other restaurants in Rome the same week that served far more flavorful truffles at a much lower price, so recognize the difference!  The service was slow and disjointed.  The only thing that checked out were the wine pairings, which were fine.  Do yourself a favor and look elsewhere.",0,huge disappointment restaurants high rating wholly unwarranted were looking forward ad hocs truffle menu week white truffles season left sorely disappointed food flavorless served cold overpriced boot seemed as if dishes been made advance reheated truffles inferior quality taste dined other restaurants rome same week that served far more flavorful truffles much lower price so recognize difference service slow disjointed only thing that checked out were wine pairings which were fine do yourself favor look elsewhere
France,The Frog at Bercy Village,Negative,Expensive mediocre food and service,Jun 2019 •,"We got the Tasting Menu and wine pairing. Frankly, the food wasn't tasty and the wine was boring. The service was completely impersonal and almost robotic. I would avoid this place at all costs, there are too many really good restaurants in Rome","Expensive mediocre food and service We got the Tasting Menu and wine pairing. Frankly, the food wasn't tasty and the wine was boring. The service was completely impersonal and almost robotic. I would avoid this place at all costs, there are too many really good restaurants in Rome",0,expensive mediocre food service got tasting menu wine pairing frankly food wasnt tasty wine boring service completely impersonal almost robotic i would avoid place all costs there are too many really good restaurants rome
France,The Frog at Bercy Village,Negative,all around awful,May 2019 •,"My wife and I booked well in advance based on TA reviews. We were seated as we arrived and the interior was wonderful. We each ordered the pumpkin flower stuffed with cheese. They arrived about 30 minutes later stone cold and tasted like hard potato chips stuffed with a glob of cheese. We ate about 20% and told the waitress, who never came back to check, when she came to clear the plates that is was awful. She argued with us saying""well, that is how we make it."" About another 30 minutes passed and our second course arrive, again stone cold-it was a pasta dish that was way under cooked, not just al dente. We did not eat more than a few bites but sat there for about 20 minutes until someone came by to clear the plates-we told her that the food was not edible and asked for our waitress--after sitting for about 10-15 more minutes we decided to get up an leave-the waitress never appeared until we started to walk out and then she said our main course was ready. This was 2 hours after we arrived. We paid for the first two course even though a classy restaurant would not have charged at all, and walked out. The waitress was rude and the food awful and the service even worse.","all around awful My wife and I booked well in advance based on TA reviews. We were seated as we arrived and the interior was wonderful. We each ordered the pumpkin flower stuffed with cheese. They arrived about 30 minutes later stone cold and tasted like hard potato chips stuffed with a glob of cheese. We ate about 20% and told the waitress, who never came back to check, when she came to clear the plates that is was awful. She argued with us saying""well, that is how we make it."" About another 30 minutes passed and our second course arrive, again stone cold-it was a pasta dish that was way under cooked, not just al dente. We did not eat more than a few bites but sat there for about 20 minutes until someone came by to clear the plates-we told her that the food was not edible and asked for our waitress--after sitting for about 10-15 more minutes we decided to get up an leave-the waitress never appeared until we started to walk out and then she said our main course was ready. This was 2 hours after we arrived. We paid for the first two course even though a classy restaurant would not have charged at all, and walked out. The waitress was rude and the food awful and the service even worse.",0,all around awful my wife i booked well advance based ta reviews were seated as arrived interior wonderful each ordered pumpkin flower stuffed cheese they arrived about minutes later stone cold tasted like hard potato chips stuffed glob cheese ate about told waitress who never came back check when she came clear plates that awful she argued us sayingwell that how make about another minutes passed our second course arrive again stone coldit pasta dish that way under cooked not just al dente did not eat more than few bites but sat there about minutes until someone came by clear plateswe told her that food not edible asked our waitressafter sitting about more minutes decided get up leavethe waitress never appeared until started walk out then she said our main course ready hours after arrived paid first two course even though classy restaurant would not have charged all walked out waitress rude food awful service even worse
